Term,TF,IDF,,TF-IDF
,,,,
Music,,,next,
stage,0.1357142857,1.4913616938,,0.202399087
book_jacket,0.2053571429,0.7781512504,,0.1597989175
electric_guitar,0.0839285714,1.8633228601,,0.1563860258
web_site,0.2125,0.6989700043,,0.1485311259
acoustic_guitar,0.0553571429,2.1205739312,,0.117388914
envelope,0.1071428571,1,,0.1071428571
violin,0.0464285714,2.260071388,,0.1049318859
comic_book,0.0928571429,1.1139433523,,0.103437597
theater_curtain,0.0517857143,1.7075701761,,0.0884277413
cello,0.0357142857,2.3304137734,,0.0832290633
grand_piano,0.0375,2.0934216852,,0.0785033132
banjo,0.0321428571,2.2878017299,,0.0735364842
bassoon,0.0303571429,2.3944516808,,0.0726887117
digital_clock,0.0571428571,1.1760912591,,0.0672052148
menu,0.0464285714,1.414973348,,0.0656951912
scoreboard,0.0446428571,1.4313637642,,0.063900168
screwdriver,0.0410714286,1.4913616938,,0.0612523553
spotlight,0.0339285714,1.7558748557,,0.0595743255
organ,0.0321428571,1.8325089127,,0.0589020722
jigsaw_puzzle,0.0392857143,1.4771212547,,0.0580297636
fountain,0.0428571429,1.3010299957,,0.0557584284
sax,0.0232142857,2.3304137734,,0.0540988912
picket_fence,0.0392857143,1.3424226808,,0.0527380339
television,0.0303571429,1.6532125138,,0.0501868085
monitor,0.0321428571,1.5563025008,,0.050024009
oboe,0.0214285714,2.2878017299,,0.0490243228
chime,0.0267857143,1.7323937598,,0.0464034043
accordion,0.0196428571,2.361727836,,0.0463910825
shower_curtain,0.0303571429,1.5185139399,,0.0460977446
flute,0.0196428571,2.3304137734,,0.0457759848
suit,0.0303571429,1.4771212547,,0.0448411809
jersey,0.0285714286,1.5563025008,,0.0444657857
maze,0.0285714286,1.5440680444,,0.0441162298
screen,0.025,1.7242758696,,0.0431068967
nail,0.025,1.6434526765,,0.0410863169
microphone,0.0196428571,2.0374264979,,0.0400208776
pick,0.0214285714,1.7781512504,,0.0381032411
iPod,0.0196428571,1.9395192526,,0.0380976996
bow_tie,0.0196428571,1.9084850189,,0.0374880986
street_sign,0.0285714286,1.3010299957,,0.0371722856
cash_machine,0.0214285714,1.6627578317,,0.035630525
harp,0.0160714286,2.2121876044,,0.0355530151
sunglasses,0.0160714286,2.2121876044,,0.0355530151
torch,0.0196428571,1.806179974,,0.0354785352
shoe_shop,0.0196428571,1.7993405495,,0.0353441894
brass,0.0196428571,1.785329835,,0.0350689789
container_ship,0.0232142857,1.5051499783,,0.0349409816
tobacco_shop,0.0196428571,1.7781512504,,0.034927971
cornet,0.0125,2.7930916002,,0.034913645
marimba,0.0160714286,2.1583624921,,0.0346879686
abaya,0.0178571429,1.9294189257,,0.0344539094
panpipe,0.0160714286,2.1398790864,,0.0343909139
Band_Aid,0.0232142857,1.4771212547,,0.0342903148
upright,0.0142857143,2.361727836,,0.0337389691
packet,0.0214285714,1.5563025008,,0.0333493393
wardrobe,0.0214285714,1.5563025008,,0.0333493393
cloak,0.0160714286,2.0606978404,,0.0331183581
fur_coat,0.0178571429,1.8512583487,,0.0330581848
wig,0.0214285714,1.5185139399,,0.0325395844
puck,0.0214285714,1.5185139399,,0.0325395844
rule,0.0160714286,1.9637878274,,0.0315608758
bottlecap,0.0178571429,1.7558748557,,0.0313549081
tray,0.0178571429,1.748188027,,0.0312176433
oscilloscope,0.0160714286,1.9395192526,,0.0311708451
drum,0.0142857143,2.1583624921,,0.0308337499
hook,0.0178571429,1.7160033436,,0.0306429169
space_shuttle,0.0142857143,2.0827853703,,0.0297540767
hair_slide,0.0160714286,1.8512583487,,0.0297523663
kimono,0.0142857143,2.0755469614,,0.0296506709
cinema,0.0178571429,1.6434526765,,0.0293473692
bell_cote,0.0178571429,1.6334684556,,0.0291690796
crossword_puzzle,0.0160714286,1.806179974,,0.0290278924
perfume,0.0160714286,1.7558748557,,0.0282194173
steel_drum,0.0107142857,2.6170003411,,0.0280392894
bookshop,0.0142857143,1.9294189257,,0.0275631275
lab_coat,0.0178571429,1.5185139399,,0.0271163204
analog_clock,0.0160714286,1.6812412374,,0.0270199485
screw,0.0142857143,1.8864907252,,0.0269498675
jean,0.0125,2.1398790864,,0.0267484886
matchstick,0.0142857143,1.8633228601,,0.026618898
binder,0.0160714286,1.6434526765,,0.0264126323
stupa,0.0142857143,1.8195439355,,0.0259934848
toyshop,0.0160714286,1.6127838567,,0.0259197406
safety_pin,0.0125,2.0606978404,,0.025758723
carpenters_kit,0.0142857143,1.785329835,,0.0255047119
slot,0.0142857143,1.785329835,,0.0255047119
sunglass,0.0107142857,2.3443922737,,0.0251184886
vestment,0.0142857143,1.748188027,,0.0249741147
switch,0.0142857143,1.7160033436,,0.0245143335
gong,0.0107142857,2.260071388,,0.0242150506
drumstick,0.0089285714,2.6794278966,,0.0239234634
bow,0.0125,1.9138138524,,0.0239226732
groom,0.0125,1.8633228601,,0.0232915358
carton,0.0125,1.8573324964,,0.0232166562
academic_gown,0.0107142857,2.1492191127,,0.0230273476
jackolantern,0.0107142857,2.1398790864,,0.0229272759
tape_player,0.0089285714,2.5622928645,,0.0228776149
mortarboard,0.0107142857,2.1303337685,,0.0228250047
barbershop,0.0125,1.8195439355,,0.0227442992
altar,0.0142857143,1.591064607,,0.0227294944
palace,0.0125,1.806179974,,0.0225772497
bolo_tie,0.0107142857,2.1003705451,,0.0225039701
cassette_player,0.0089285714,2.5145477527,,0.0224513192
swab,0.0107142857,2.0606978404,,0.0220789054
ski,0.0125,1.7634279936,,0.0220428499
whistle,0.0125,1.7075701761,,0.0213446272
handheld_computer,0.0089285714,2.378397901,,0.0212356955
ballpoint,0.0107142857,1.9731278536,,0.0211406556
traffic_light,0.0125,1.6812412374,,0.0210155155
shower_cap,0.0107142857,1.9590413923,,0.0209897292
bearskin,0.0089285714,2.3443922737,,0.0209320739
pajama,0.0107142857,1.8976270913,,0.0203317188
